subsecao_id,municipio_id,year
19.0,19.0,2018
19.0,434.0,2018
35.0,35.0,2018
35.0,78.0,2018
35.0,159.0,2018
35.0,396.0,2018
35.0,477.0,2018
35.0,493.0,2018
35.0,590.0,2018
35.0,612.0,2018
35.0,620.0,2018
35.0,639.0,2018
35.0,647.0,2018
35.0,663.0,2018
35.0,671.0,2018
35.0,680.0,2018
35.0,698.0,2018
35.0,779.0,2018
51.0,51.0,2018
51.0,94.0,2018
51.0,175.0,2018
51.0,191.0,2018
51.0,213.0,2018
51.0,299.0,2018
51.0,310.0,2018
51.0,337.0,2018
51.0,353.0,2018
51.0,370.0,2018
51.0,418.0,2018
51.0,515.0,2018
51.0,531.0,2018
51.0,558.0,2018
51.0,566.0,2018
51.0,574.0,2018
51.0,582.0,2018
51.0,604.0,2018
51.0,701.0,2018
51.0,728.0,2018
51.0,736.0,2018
51.0,744.0,2018
51.0,752.0,2018
51.0,795.0,2018
132.0,116.0,2018
132.0,132.0,2018
132.0,230.0,2018
132.0,256.0,2018
132.0,272.0,2018
132.0,450.0,2018
132.0,655.0,2018
132.0,787.0,2018
132.0,809.0,2018
1074.0,1040.0,2018
1074.0,1066.0,2018
1074.0,1082.0,2018
1074.0,1090.0,2018
1074.0,1104.0,2018
1074.0,1139.0,2018
1074.0,1473.0,2018
1392.0,1007.0,2018
1392.0,1015.0,2018
1392.0,1023.0,2018
1392.0,1031.0,2018
1392.0,1058.0,2018
1392.0,1074.0,2018
1392.0,1112.0,2018
1392.0,1120.0,2018
1392.0,1392.0,2018
1392.0,1457.0,2018
1392.0,1490.0,2018
1392.0,1511.0,2018
1392.0,1538.0,2018
1392.0,1554.0,2018
1392.0,1570.0,2018
2550.0,2003.0,2018
2550.0,2011.0,2018
2550.0,2020.0,2018
2550.0,2038.0,2018
2550.0,2046.0,2018
2550.0,2070.0,2018
2550.0,2097.0,2018
2550.0,2119.0,2018
2550.0,2151.0,2018
2550.0,2178.0,2018
2550.0,2194.0,2018
2550.0,2232.0,2018
2550.0,2275.0,2018
2550.0,2291.0,2018
2550.0,2313.0,2018
2550.0,2356.0,2018
2550.0,2372.0,2018
2550.0,2399.0,2018
2550.0,2410.0,2018
2550.0,2437.0,2018
2550.0,2518.0,2018
2550.0,2534.0,2018
2550.0,2550.0,2018
2550.0,2577.0,2018
2550.0,2615.0,2018
2550.0,2631.0,2018
2550.0,2658.0,2018
2550.0,2674.0,2018
2550.0,2690.0,2018
2550.0,2712.0,2018
2550.0,2771.0,2018
2550.0,2836.0,2018
2550.0,2852.0,2018
2550.0,2879.0,2018
2550.0,2933.0,2018
2550.0,2950.0,2018
2550.0,2976.0,2018
2550.0,2992.0,2018
2550.0,98353.0,2018
2550.0,98370.0,2018
2550.0,98396.0,2018
2550.0,98418.0,2018
2550.0,98434.0,2018
2550.0,98450.0,2018
2810.0,2216.0,2018
2810.0,2259.0,2018
2810.0,2330.0,2018
2810.0,2453.0,2018
2810.0,2470.0,2018
2810.0,2593.0,2018
2810.0,2798.0,2018
2810.0,2810.0,2018
2810.0,2895.0,2018
2810.0,98493.0,2018
3018.0,3000.0,2018
3018.0,3018.0,2018
3018.0,3026.0,2018
3018.0,3034.0,2018
3018.0,3042.0,2018
3018.0,3050.0,2018
3018.0,3069.0,2018
3018.0,3077.0,2018
3018.0,3085.0,2018
3018.0,3093.0,2018
3018.0,3107.0,2018
3018.0,3115.0,2018
3018.0,3123.0,2018
3018.0,3131.0,2018
3018.0,3158.0,2018
4111.0,4111.0,2018
4111.0,4227.0,2018
4111.0,4405.0,2018
4111.0,4723.0,2018
4111.0,5177.0,2018
4111.0,5550.0,2018
4111.0,5754.0,2018
4111.0,5770.0,2018
4278.0,4014.0,2018
4278.0,4030.0,2018
4278.0,4057.0,2018
4278.0,4138.0,2018
4278.0,4154.0,2018
4278.0,4219.0,2018
4278.0,4235.0,2018
4278.0,4243.0,2018
4278.0,4251.0,2018
4278.0,4278.0,2018
4278.0,4294.0,2018
4278.0,4359.0,2018
4278.0,4375.0,2018
4278.0,4391.0,2018
4278.0,4413.0,2018
4278.0,4499.0,2018
4278.0,4510.0,2018
4278.0,4553.0,2018
4278.0,4642.0,2018
4278.0,4650.0,2018
4278.0,4790.0,2018
4278.0,4898.0,2018
4278.0,4910.0,2018
4278.0,4936.0,2018
4278.0,4979.0,2018
4278.0,5037.0,2018
4278.0,5134.0,2018
4278.0,5150.0,2018
4278.0,5258.0,2018
4278.0,5274.0,2018
4278.0,5290.0,2018
4278.0,5398.0,2018
4278.0,5410.0,2018
4278.0,5533.0,2018
4278.0,5576.0,2018
4278.0,5592.0,2018
4278.0,5630.0,2018
4278.0,5819.0,2018
4472.0,4065.0,2018
4472.0,4170.0,2018
4472.0,4316.0,2018
4472.0,4332.0,2018
4472.0,4430.0,2018
4472.0,4472.0,2018
4472.0,4545.0,2018
4472.0,4570.0,2018
4472.0,4634.0,2018
4472.0,4669.0,2018
4472.0,4677.0,2018
4472.0,4685.0,2018
4472.0,4812.0,2018
4472.0,4820.0,2018
4472.0,4855.0,2018
4472.0,4871.0,2018
4472.0,4995.0,2018
4472.0,5118.0,2018
4472.0,5215.0,2018
4472.0,5231.0,2018
4472.0,5312.0,2018
4472.0,5371.0,2018
4472.0,5436.0,2018
4472.0,5479.0,2018
4472.0,5657.0,2018
4715.0,4197.0,2018
4715.0,4200.0,2018
4715.0,4286.0,2018
4715.0,4383.0,2018
4715.0,4715.0,2018
4839.0,4049.0,2018
4839.0,4120.0,2018
4839.0,4162.0,2018
4839.0,4464.0,2018
4839.0,4502.0,2018
4839.0,4600.0,2018
4839.0,4707.0,2018
4839.0,4731.0,2018
4839.0,4782.0,2018
4839.0,4839.0,2018
4839.0,5495.0,2018
4839.0,5738.0,2018
4839.0,5797.0,2018
4839.0,5835.0,2018
4839.0,5851.0,2018
4839.0,5932.0,2018
5096.0,4103.0,2018
5096.0,4146.0,2018
5096.0,4189.0,2018
5096.0,4324.0,2018
5096.0,4340.0,2018
5096.0,4456.0,2018
5096.0,4480.0,2018
5096.0,4693.0,2018
5096.0,4766.0,2018
5096.0,5070.0,2018
5096.0,5096.0,2018
5096.0,5517.0,2018
5096.0,5878.0,2018
5096.0,5975.0,2018
5355.0,4073.0,2018
5355.0,4090.0,2018
5355.0,4367.0,2018
5355.0,4596.0,2018
5355.0,4618.0,2018
5355.0,4626.0,2018
5355.0,4740.0,2018
5355.0,4774.0,2018
5355.0,4804.0,2018
5355.0,4952.0,2018
5355.0,5010.0,2018
5355.0,5053.0,2018
5355.0,5193.0,2018
5355.0,5355.0,2018
5355.0,5894.0,2018
5614.0,4006.0,2018
5614.0,4022.0,2018
5614.0,4421.0,2018
5614.0,4448.0,2018
5614.0,4758.0,2018
