municipio_id,comarca_id,subsecao_id
-3.0,,
-1.0,,
19.0,19.0,19.0
35.0,35.0,35.0
51.0,51.0,51.0
78.0,78.0,35.0
94.0,94.0,51.0
116.0,116.0,132.0
132.0,132.0,132.0
159.0,159.0,35.0
175.0,175.0,51.0
191.0,191.0,51.0
213.0,213.0,51.0
230.0,230.0,132.0
256.0,256.0,132.0
272.0,272.0,132.0
299.0,299.0,51.0
310.0,310.0,51.0
337.0,337.0,51.0
353.0,299.0,51.0
370.0,370.0,51.0
396.0,396.0,35.0
418.0,418.0,51.0
434.0,19.0,19.0
450.0,230.0,132.0
477.0,35.0,35.0
493.0,35.0,35.0
515.0,51.0,51.0
531.0,191.0,51.0
558.0,175.0,51.0
566.0,337.0,51.0
574.0,175.0,51.0
582.0,418.0,51.0
590.0,159.0,35.0
604.0,94.0,51.0
612.0,159.0,35.0
620.0,78.0,35.0
639.0,78.0,35.0
647.0,78.0,35.0
655.0,230.0,132.0
663.0,78.0,35.0
671.0,779.0,35.0
680.0,78.0,35.0
698.0,51.0,35.0
701.0,299.0,51.0
710.0,116.0,
728.0,116.0,51.0
736.0,310.0,51.0
744.0,175.0,51.0
752.0,175.0,51.0
779.0,779.0,35.0
787.0,272.0,132.0
795.0,213.0,51.0
809.0,132.0,132.0
1007.0,1007.0,1392.0
1015.0,1015.0,1392.0
1023.0,1023.0,1392.0
1031.0,1457.0,1392.0
1040.0,1074.0,1074.0
1058.0,1058.0,1392.0
1066.0,1074.0,1074.0
1074.0,1074.0,1392.0
1082.0,1082.0,1074.0
1090.0,1090.0,1074.0
1104.0,1473.0,1074.0
1112.0,1112.0,1392.0
1120.0,1120.0,1392.0
1139.0,1139.0,1074.0
1392.0,1392.0,1392.0
1457.0,1457.0,1392.0
1473.0,1473.0,1074.0
1490.0,1490.0,1392.0
1511.0,1511.0,1392.0
1538.0,1538.0,1392.0
1554.0,1554.0,1392.0
1570.0,1570.0,1392.0
2003.0,2003.0,2550.0
2011.0,2011.0,2550.0
2020.0,2020.0,2550.0
2038.0,2038.0,2550.0
2046.0,2046.0,2550.0
2054.0,2054.0,98477.0
2070.0,2070.0,2550.0
2097.0,2097.0,2550.0
2119.0,2119.0,2550.0
2135.0,2135.0,98477.0
2151.0,2151.0,2550.0
2178.0,2178.0,2550.0
2194.0,2194.0,2550.0
2216.0,2216.0,2810.0
2232.0,2232.0,2550.0
2259.0,2259.0,2810.0
2275.0,2275.0,2550.0
2291.0,2291.0,2550.0
2313.0,2313.0,2550.0
2330.0,2330.0,2810.0
2356.0,2356.0,2550.0
2372.0,2372.0,2550.0
2399.0,2399.0,2550.0
2410.0,2410.0,2550.0
2437.0,2437.0,2550.0
2453.0,2453.0,2810.0
2470.0,2470.0,2810.0
2496.0,2496.0,98477.0
2518.0,2518.0,2550.0
2534.0,2534.0,2550.0
2550.0,2550.0,2550.0
2577.0,2577.0,2550.0
2593.0,2593.0,2810.0
2615.0,2615.0,2550.0
2631.0,2631.0,2550.0
2658.0,2658.0,2550.0
2674.0,2674.0,2550.0
2690.0,2690.0,2550.0
2712.0,2712.0,2550.0
2739.0,2739.0,98477.0
2755.0,2755.0,98477.0
2771.0,2771.0,2550.0
2798.0,2798.0,2810.0
2810.0,2810.0,2810.0
2828.0,,
2836.0,2836.0,2550.0
2852.0,2852.0,2550.0
2879.0,2879.0,2550.0
2895.0,2895.0,2810.0
2917.0,2755.0,98477.0
2933.0,2933.0,2550.0
2950.0,2950.0,2550.0
2976.0,2976.0,2550.0
2992.0,2992.0,2550.0
3000.0,3158.0,3018.0
3018.0,3018.0,3018.0
3026.0,3093.0,3018.0
3034.0,3034.0,3018.0
3042.0,3123.0,3018.0
3050.0,3050.0,3018.0
3069.0,3018.0,3018.0
3077.0,3077.0,3018.0
3085.0,3085.0,3018.0
3093.0,3093.0,3018.0
3107.0,3123.0,3018.0
3115.0,3018.0,3018.0
3123.0,3123.0,3018.0
3131.0,3158.0,3018.0
3158.0,3158.0,3018.0
4006.0,4006.0,5614.0
4014.0,4014.0,4278.0
4022.0,4022.0,5614.0
4030.0,4030.0,4278.0
4049.0,4839.0,4839.0
4057.0,4057.0,4278.0
4065.0,4430.0,4472.0
4073.0,4073.0,5355.0
4081.0,4081.0,5673.0
4090.0,4090.0,5355.0
4103.0,4103.0,5096.0
4111.0,4111.0,4111.0
4120.0,5851.0,4839.0
4138.0,4138.0,4278.0
4146.0,4146.0,5096.0
4154.0,4154.0,4278.0
4162.0,5495.0,4839.0
4170.0,4170.0,4472.0
4189.0,4340.0,5096.0
4197.0,4715.0,4715.0
4200.0,4200.0,4715.0
4219.0,4359.0,4278.0
4227.0,4227.0,4111.0
4235.0,4235.0,4278.0
4243.0,4294.0,4278.0
4251.0,4251.0,4278.0
4260.0,5711.0,5673.0
4278.0,4278.0,4278.0
4286.0,4715.0,4715.0
4294.0,4294.0,4278.0
4308.0,5673.0,5673.0
4316.0,4316.0,4472.0
4324.0,4324.0,5096.0
4332.0,4332.0,4472.0
4340.0,4340.0,5096.0
4359.0,4359.0,4278.0
4367.0,4367.0,5355.0
4375.0,4375.0,4278.0
4383.0,4383.0,4715.0
4391.0,4391.0,4278.0
4405.0,4111.0,4111.0
4413.0,4413.0,4278.0
4421.0,4421.0,5614.0
4430.0,4430.0,4472.0
4448.0,4448.0,5614.0
4456.0,4456.0,5096.0
4464.0,4464.0,4839.0
4472.0,4472.0,4472.0
4480.0,5878.0,5096.0
4499.0,4499.0,4278.0
4502.0,5738.0,4839.0
4510.0,5630.0,4278.0
4529.0,5673.0,5673.0
4537.0,4537.0,5673.0
4545.0,4570.0,4472.0
4553.0,4553.0,4278.0
4561.0,4537.0,5673.0
4570.0,4570.0,4472.0
4588.0,5690.0,5673.0
4596.0,4596.0,5355.0
4600.0,4731.0,4839.0
4618.0,4618.0,5355.0
4626.0,5754.0,5355.0
4634.0,4634.0,4472.0
4642.0,4642.0,4278.0
4650.0,4650.0,4278.0
4669.0,4332.0,4472.0
4677.0,4472.0,4472.0
4685.0,5215.0,4472.0
4693.0,4693.0,5096.0
4707.0,4707.0,4839.0
4715.0,4715.0,4715.0
4723.0,5916.0,4111.0
4731.0,4731.0,4839.0
4740.0,5010.0,5355.0
4758.0,4758.0,5614.0
4766.0,5657.0,5096.0
4774.0,5010.0,5355.0
4782.0,5797.0,4839.0
4790.0,4790.0,4278.0
4804.0,5355.0,5355.0
4812.0,4634.0,4472.0
4820.0,5410.0,4472.0
4839.0,4839.0,4839.0
4847.0,5711.0,5673.0
4855.0,4855.0,4472.0
4863.0,5355.0,
4871.0,4871.0,4472.0
4898.0,4898.0,4278.0
4910.0,4910.0,4278.0
4936.0,4936.0,4278.0
4952.0,4952.0,5355.0
4979.0,4979.0,4278.0
4995.0,4995.0,4472.0
5010.0,5010.0,5355.0
5037.0,5037.0,4278.0
5053.0,5053.0,5355.0
5070.0,5070.0,5096.0
5096.0,5096.0,5096.0
5118.0,5118.0,4472.0
5134.0,5134.0,4278.0
5150.0,5150.0,4278.0
5177.0,5177.0,4111.0
5193.0,5193.0,5355.0
5215.0,5215.0,4472.0
5231.0,5231.0,4472.0
5258.0,5258.0,4278.0
5274.0,4391.0,4278.0
5290.0,5290.0,4278.0
5312.0,5312.0,4472.0
5339.0,5339.0,5673.0
5355.0,5355.0,5355.0
5371.0,5371.0,4472.0
5398.0,5398.0,4278.0
5410.0,5410.0,4278.0
5436.0,5436.0,4472.0
5452.0,5452.0,5673.0
5479.0,5479.0,4472.0
5495.0,5495.0,4839.0
5517.0,5517.0,5096.0
5533.0,5533.0,4278.0
5550.0,5550.0,4111.0
5576.0,5576.0,4278.0
5592.0,5592.0,4278.0
5614.0,5614.0,5614.0
5630.0,5630.0,4278.0
5657.0,5657.0,4472.0
5673.0,5673.0,5673.0
5690.0,5690.0,5673.0
5711.0,5711.0,5673.0
5738.0,5738.0,4839.0
5754.0,5754.0,4111.0
5770.0,5770.0,4111.0
5797.0,5797.0,4839.0
5819.0,5819.0,4278.0
5835.0,5835.0,4839.0
5851.0,5851.0,4839.0
5878.0,5878.0,5096.0
5894.0,5894.0,5355.0
5916.0,5916.0,5614.0
5932.0,5495.0,4839.0
5959.0,5959.0,5673.0
5975.0,5975.0,5096.0
5991.0,4537.0,5673.0
6009.0,6017.0,6050.0
6017.0,6017.0,6050.0
6025.0,6025.0,6050.0
6033.0,6033.0,6092.0
6041.0,6114.0,6050.0
6050.0,6050.0,6050.0
6068.0,6114.0,6050.0
6076.0,6076.0,6050.0
6084.0,6106.0,6050.0
6092.0,6092.0,6092.0
6106.0,6106.0,6050.0
6114.0,6114.0,6050.0
6122.0,6122.0,6130.0
6130.0,6130.0,6130.0
6157.0,6157.0,6050.0
6173.0,6173.0,6050.0
7005.0,7170.0,9210.0
7013.0,7650.0,7579.0
7021.0,7021.0,7234.0
7030.0,7030.0,9210.0
7048.0,8974.0,9210.0
7056.0,7056.0,7579.0
7064.0,7250.0,9210.0
7072.0,9539.0,7234.0
7080.0,7889.0,9210.0
7099.0,7099.0,7277.0
7102.0,9717.0,9210.0
7110.0,7110.0,8036.0
7129.0,8915.0,9210.0
7137.0,7137.0,9210.0
7145.0,9075.0,9210.0
7153.0,7390.0,9210.0
7161.0,9458.0,9210.0
7170.0,7170.0,9210.0
7188.0,9571.0,9210.0
7196.0,7196.0,9210.0
7200.0,8613.0,9210.0
7218.0,7994.0,9210.0
7226.0,8419.0,9210.0
7234.0,7234.0,7234.0
7242.0,8036.0,8036.0
7250.0,7250.0,9210.0
7269.0,7340.0,9210.0
7277.0,7277.0,7277.0
7285.0,7234.0,7234.0
7293.0,7293.0,7277.0
7307.0,9539.0,7234.0
7315.0,7315.0,9210.0
7323.0,7889.0,9210.0
7331.0,7331.0,9210.0
7340.0,7340.0,9210.0
7358.0,8591.0,7277.0
7366.0,7110.0,8036.0
7374.0,7374.0,9210.0
7382.0,8770.0,8036.0
7390.0,7390.0,9210.0
7404.0,9032.0,9210.0
7412.0,7412.0,9210.0
7420.0,8354.0,9210.0
7439.0,7439.0,7579.0
7447.0,7668.0,9210.0
7455.0,9270.0,9210.0
7463.0,7889.0,9210.0
7471.0,9490.0,9210.0
7480.0,9610.0,8036.0
7498.0,7498.0,9210.0
7501.0,7234.0,7234.0
7510.0,7510.0,9210.0
7528.0,8877.0,7277.0
7536.0,7536.0,7277.0
7544.0,7315.0,9210.0
7552.0,7552.0,9210.0
7560.0,7935.0,7277.0
7579.0,7579.0,7579.0
