cod_item,cod_item_pai,nome,situacao,dat_versao,dsc_caminho_completo
142,62,Sonegados,A,2025-09-11 16:34:41,
143,62,Suprimento de Idade e/ou Consentimento,A,2025-09-11 16:34:41,
144,62,Suspensão de Liminar ou Antecipação de Tutela,I,2025-09-11 16:34:41,
145,62,Suspensão de Execução de Sentença,I,2025-09-11 16:34:41,
150,1106,Procedimento de Liquidação,A,2025-09-11 16:34:41,
151,150,Liquidação por Arbitramento,A,2025-09-11 16:34:41,
152,150,Liquidação de Sentença pelo Procedimento Comum,A,2025-09-11 16:34:41,
153,150,Liquidação Provisória por Arbitramento,A,2025-09-11 16:34:41,
154,150,Liquidação Provisória de Sentença pelo Procedimento Comum,A,2025-09-11 16:34:41,
155,1106,Procedimento de Cumprimento de Sentença/Decisão,A,2025-09-11 16:34:41,
156,155,Cumprimento de sentença,A,2025-09-11 16:34:41,
157,155,Cumprimento Provisório de Sentença,A,2025-09-11 16:34:41,
158,2,Processo de Execução,A,2025-09-11 16:34:41,
159,158,Execução de Título Extrajudicial,A,2025-09-11 16:34:41,
165,158,Insolvência Civil,A,2025-09-11 16:34:41,
166,165,Insolvência Requerida pelo Credor,A,2025-09-11 16:34:41,
167,165,Insolvência Requerida pelo Devedor ou pelo Espólio,A,2025-09-11 16:34:41,
169,158,Embargos,A,2025-09-11 16:34:41,
170,169,Embargos à Adjudicação,I,2025-09-11 16:34:41,
171,169,Embargos à Arrematação,I,2025-09-11 16:34:41,
172,169,Embargos à Execução,A,2025-09-11 16:34:41,
173,169,Embargos de Retenção por Benfeitorias,I,2025-09-11 16:34:41,
175,2,Processo Cautelar,A,2025-09-11 16:34:41,
176,175,Alimentos - Provisionais,I,2025-09-11 16:34:41,
177,175,Apreensão de  Títulos,I,2025-09-11 16:34:41,
178,175,Arresto ,I,2025-09-11 16:34:41,
179,175,Arrolamento de Bens,I,2025-09-11 16:34:41,
180,175,Atentado,I,2025-09-11 16:34:41,
181,175,Busca e Apreensão,I,2025-09-11 16:34:41,
182,175,Caução,I,2025-09-11 16:34:41,
183,175,Cautelar Inominada,I,2025-09-11 16:34:41,
186,175,Exibição,I,2025-09-11 16:34:41,
188,175,Homologação do Penhor Legal,I,2025-09-11 16:34:41,
190,175,Justificação,I,2025-09-11 16:34:41,
191,175,Protesto,I,2025-09-11 16:34:41,
192,175,Posse em Nome do Nascituro,I,2025-09-11 16:34:41,
193,175,Produção Antecipada da Prova,I,2025-09-11 16:34:41,
194,175,Regulamentação de Visitas,I,2025-09-11 16:34:41,
195,175,Separação de Corpos,I,2025-09-11 16:34:41,
196,175,Seqüestro,I,2025-09-11 16:34:41,
197,2,Recursos,A,2025-09-11 16:34:41,
198,197,Apelação Cível,A,2025-09-11 16:34:41,
199,197,Remessa Necessária Cível,A,2025-09-11 16:34:41,
200,197,Agravos,A,2025-09-11 16:34:41,
202,200,Agravo de Instrumento,A,2025-09-11 16:34:41,
203,200,Agravo de Instrumento em Recurso Especial,I,2025-09-11 16:34:41,
204,200,Agravo de Instrumento em Recurso Extraordinário,A,2025-09-11 16:34:41,
206,200,Agravo Regimental Cível,A,2025-09-11 16:34:41,
207,197,Embargos,A,2025-09-11 16:34:41,
208,207,Embargos Infringentes,I,2025-09-11 16:34:41,
210,207,Embargos Infringentes na Execução Fiscal,A,2025-09-11 16:34:41,
211,197,Recurso Ordinário Cível,A,2025-09-11 16:34:41,
212,197,Recurso Extraordinário,A,2025-09-11 16:34:41,
213,197,Recurso Especial,A,2025-09-11 16:34:41,
214,2,Outros Procedimentos,A,2025-09-11 16:34:41,
215,214,Incidentes,A,2025-09-11 16:34:41,
216,215,Incidente De Arguição de Inconstitucionalidade Cível,A,2025-09-11 16:34:41,
218,215,Assistência Judiciária,I,2025-09-11 16:34:41,
221,215,Conflito de competência cível,A,2025-09-11 16:34:41,
224,215,Exceções,I,2025-09-11 16:34:41,
228,215,Exibição de Documento ou Coisa Cível,A,2025-09-11 16:34:41,
229,155,Impugnação ao Cumprimento de Sentença,I,2025-09-11 16:34:41,
230,215,Impugnação ao Pedido de Assistência Litisconsorcial ou Simples,I,2025-09-11 16:34:41,
231,215,Impugnação ao Valor da Causa Cível,I,2025-09-11 16:34:41,
232,215,Incidente de Falsidade,I,2025-09-11 16:34:41,
233,215,Incidente de Uniformização de Jurisprudência,I,2025-09-11 16:34:41,
234,215,Remoção de Inventariante,A,2025-09-11 16:34:41,
236,215,Oposição,A,2025-09-11 16:34:41,
237,214,Atos e expedientes,A,2025-09-11 16:34:41,
238,237,Avocatória,A,2025-09-11 16:34:41,
239,237,Habilitação para Casamento,A,2025-09-11 16:34:41,
240,237,Instrução de Rescisória,A,2025-09-11 16:34:41,
241,237,Petição Cível,A,2025-09-11 16:34:41,
242,237,Comunicação,A,2025-09-11 16:34:41,
244,62,Reclamação,I,2025-09-11 16:34:41,
251,237,Registro de Casamento Nuncupativo,A,2025-09-11 16:34:41,
256,1198,Representação por Excesso de Prazo,A,2025-09-11 16:34:41,
257,214,Cartas,A,2025-09-11 16:34:41,
258,257,Carta de Ordem Cível,A,2025-09-11 16:34:41,
261,257,Carta Precatória Cível,A,2025-09-11 16:34:41,
264,257,Carta Rogatória Cível,A,2025-09-11 16:34:41,
268,,PROCESSO CRIMINAL,A,2025-09-11 16:34:41,
269,268,Medidas Preparatórias,A,2025-09-11 16:34:41,
270,269,Notícia-Crime,I,2025-09-11 16:34:41,
271,277,Representação Criminal,A,2025-09-11 16:34:41,
272,271,Representação Criminal/Notícia de Crime,A,2025-09-11 16:34:41,
273,271,Pedido de Arquivamento em Representação Criminal,I,2025-09-11 16:34:41,
274,269,Interpelações,A,2025-09-11 16:34:41,
275,274,Notificação para Explicações,A,2025-09-11 16:34:41,
276,274,Notificação para Explicações (Lei de Imprensa),A,2025-09-11 16:34:41,
277,268,Procedimentos Investigatórios,A,2025-09-11 16:34:41,
278,277,Termo Circunstanciado,A,2025-09-11 16:34:41,
279,277,Inquérito Policial,A,2025-09-11 16:34:41,
280,277,Auto de Prisão em Flagrante,A,2025-09-11 16:34:41,
281,268,Procedimento Comum,A,2025-09-11 16:34:41,
282,281,Ação Penal de Competência do Júri,A,2025-09-11 16:34:41,
283,281,Ação Penal - Procedimento Ordinário,A,2025-09-11 16:34:41,
284,268,Processo Especial,A,2025-09-11 16:34:41,
285,284,Processo Especial do Código de Processo Penal,A,2025-09-11 16:34:41,
287,285,Crimes de Responsabilidade dos Funcionários Públicos,A,2025-09-11 16:34:41,
288,285,"Crimes de Calúnia, Injúria e Difamação de Competência do Juiz Singular",A,2025-09-11 16:34:41,
289,285,Crimes Contra a Propriedade Imaterial,A,2025-09-11 16:34:41,
290,285,Processo Sumário (Detenção),I,2025-09-11 16:34:41,
291,285,Restauração de Autos Criminal,A,2025-09-11 16:34:41,
292,284,Processo Especial de Leis Esparsas,A,2025-09-11 16:34:41,
293,292,Crimes Ambientais,A,2025-09-11 16:34:41,
294,292,Crimes Contra a Propriedade Industrial,A,2025-09-11 16:34:41,
295,292,Crimes Contra a Propriedade Intelectual,A,2025-09-11 16:34:41,
297,292,Crimes de Imprensa,A,2025-09-11 16:34:41,
299,292,Procedimento do Juizado Especial Criminal - Sumariíssimo,I,2025-09-11 16:34:41,
300,292,Procedimento Especial da Lei Antitóxicos,A,2025-09-11 16:34:41,
302,292,Procedimento Especial dos Crimes de Abuso de Autoridade,A,2025-09-11 16:34:41,
303,268,Medidas Garantidoras,A,2025-09-11 16:34:41,
304,303,Liberdade,A,2025-09-11 16:34:41,
305,304,Liberdade Provisória com ou sem fiança,A,2025-09-11 16:34:41,
306,304,Relaxamento de Prisão,A,2025-09-11 16:34:41,
307,303,Habeas Corpus Criminal,A,2025-09-11 16:34:41,
308,268,Medidas Cautelares,A,2025-09-11 16:34:41,
309,308,Pedido de Busca e Apreensão Criminal,A,2025-09-11 16:34:41,
310,308,Pedido de Quebra de Sigilo de Dados e/ou Telefônico,A,2025-09-11 16:34:41,
311,308,Medidas Investigatórias Sobre Organizações Criminosas,A,2025-09-11 16:34:41,
312,308,Pedido de Prisão,A,2025-09-11 16:34:41,
313,312,Pedido de Prisão Preventiva,A,2025-09-11 16:34:41,
314,312,Pedido de Prisão Temporária,A,2025-09-11 16:34:41,
315,312,Pedido de Prisão/ Liberdade Vigiada para Fins de Expulsão,I,2025-09-11 16:34:41,
316,268,Questões e Processos Incidentes,A,2025-09-11 16:34:41,
317,316,Exceções,A,2025-09-11 16:34:41,
318,317,Exceção de Suspeição,A,2025-09-11 16:34:41,
319,317,Exceção de Incompetência de Juízo,A,2025-09-11 16:34:41,
320,317,Exceção de Litispendência,A,2025-09-11 16:34:41,
321,317,Exceção de Ilegitimidade de Parte,A,2025-09-11 16:34:41,
322,317,Exceção de Coisa Julgada,A,2025-09-11 16:34:41,
323,317,Exceção de Impedimento,A,2025-09-11 16:34:41,
324,317,Exceção da Verdade,A,2025-09-11 16:34:41,
325,331,Conflito de Jurisdição,A,2025-09-11 16:34:41,
326,316,Restituição de Coisas Apreendidas,A,2025-09-11 16:34:41,
327,316,Embargos de Terceiro Criminal,A,2025-09-11 16:34:41,
328,316,Medidas Assecuratórias,A,2025-09-11 16:34:41,
329,328,Seqüestro,A,2025-09-11 16:34:41,
330,328,Arresto / Hipoteca Legal,A,2025-09-11 16:34:41,
331,316,Incidentes,A,2025-09-11 16:34:41,
332,331,Incidente de Falsidade,A,2025-09-11 16:34:41,
333,331,Insanidade Mental do Acusado,A,2025-09-11 16:34:41,
334,268,Cartas,A,2025-09-11 16:34:41,
335,334,Carta de Ordem Criminal,A,2025-09-11 16:34:41,
355,334,Carta Precatória Criminal,A,2025-09-11 16:34:41,
375,334,Carta Rogatória Criminal,A,2025-09-11 16:34:41,
385,,EXECUÇÃO PENAL E DE MEDIDAS ALTERNATIVAS,A,2025-09-11 16:34:41,
386,385,Execução da Pena,A,2025-09-11 16:34:41,
406,385,Incidentes,I,2025-09-11 16:34:41,
407,406,Conversão de Pena,I,2025-09-11 16:34:41,
408,406,Excesso ou Desvio,I,2025-09-11 16:34:41,
409,406,Anistia,I,2025-09-11 16:34:41,
410,406,Indulto,I,2025-09-11 16:34:41,
411,406,Comutação de Pena,I,2025-09-11 16:34:41,
412,268,Recursos,A,2025-09-11 16:34:41,
413,412,Agravo de Execução Penal,A,2025-09-11 16:34:41,
416,412,Apelação em Mandado de Segurança,I,2025-09-11 16:34:41,
417,412,Apelação Criminal,A,2025-09-11 16:34:41,
418,412,Carta Testemunhável,A,2025-09-11 16:34:41,
419,412,Correição Parcial Criminal,A,2025-09-11 16:34:41,
420,412,Embargos de Declaração Criminal,A,2025-09-11 16:34:41,
421,412,Embargos Infringentes e de Nulidade,A,2025-09-11 16:34:41,
422,412,Protesto por Novo Júri,I,2025-09-11 16:34:41,
424,412,Recurso de Medida Cautelar Criminal,A,2025-09-11 16:34:41,
425,412,Recurso de Sentença Criminal,I,2025-09-11 16:34:41,
426,412,Recurso em Sentido Estrito,A,2025-09-11 16:34:41,
427,412,Remessa Necessária Criminal,A,2025-09-11 16:34:41,
428,412,Revisão Criminal,I,2025-09-11 16:34:41,
432,331,Desaforamento de Julgamento,A,2025-09-11 16:34:41,
433,331,Incidente de Uniformização de Jurisprudência,I,2025-09-11 16:34:41,
436,1107,Procedimento do Juizado Especial Cível,A,2025-09-11 16:34:41,
457,215,Pedido de Uniformização de Interpretação de Lei Cível,A,2025-09-11 16:34:41,
460,197,Recurso Inominado Cível,A,2025-09-11 16:34:41,
547,,PROCEDIMENTOS DE INFÂNCIA E JUVENTUDE,A,2025-09-11 16:34:41,
976,1067,Ação Anulatória de Cláusulas Convencionais,A,2025-09-11 16:34:41,
980,1067,Ação de Cumprimento,A,2025-09-11 16:34:41,
985,1067,Ação Trabalhista - Rito Ordinário,A,2025-09-11 16:34:41,
986,1067,Inquérito para Apuração de Falta Grave,A,2025-09-11 16:34:41,
987,1067,Dissídio Coletivo,A,2025-09-11 16:34:41,
988,1067,Dissídio Coletivo de Greve,A,2025-09-11 16:34:41,
990,1068,Execução de Título Extrajudicial,A,2025-09-11 16:34:41,
991,1068,Execução de Termo de Ajuste de Conduta,A,2025-09-11 16:34:41,
992,1068,Execução de Termo de Conciliação de CCP,A,2025-09-11 16:34:41,
993,1068,Execução de Certidão de Crédito Judicial,A,2025-09-11 16:34:41,
994,1068,Execução Provisória em Autos Suplementares,A,2025-09-11 16:34:41,
1000,1209,Agravo,A,2025-09-11 16:34:41,
1001,1209,Agravo de Instrumento em Agravo de Petição,A,2025-09-11 16:34:41,
1002,1209,Agravo de Instrumento em Recurso de Revista,A,2025-09-11 16:34:41,
1003,1209,Agravo de Instrumento em Recurso Ordinário,A,2025-09-11 16:34:41,
1004,1209,Agravo de Petição,A,2025-09-11 16:34:41,
1005,1209,Agravo Regimental Trabalhista,A,2025-09-11 16:34:41,
1006,1071,Embargos,A,2025-09-11 16:34:41,
1007,1071,Embargos Infringentes,A,2025-09-11 16:34:41,
1008,1071,Recurso de Revista,A,2025-09-11 16:34:41,
1009,1071,Recurso Ordinário Trabalhista,A,2025-09-11 16:34:41,
1013,5,Agravo em Recurso de Habeas Corpus,A,2025-09-11 16:34:41,
1015,5,Embargos de Divergência em Recurso de Mandado de Segurança,I,2025-09-11 16:34:41,
1016,5,Embargos de Divergência em Agravo Regimental,A,2025-09-11 16:34:41,
1017,5,Embargos à Execução em Mandado de Segurança,A,2025-09-11 16:34:41,
1018,5,Embargos à Execução em Ação Recisoria,A,2025-09-11 16:34:41,
1019,5,Embargos à Execução em Medida Cautelar,A,2025-09-11 16:34:41,
1020,5,Execução em Ação Rescisória,A,2025-09-11 16:34:41,
1021,5,Execução em Sentença Estrangeira,A,2025-09-11 16:34:41,
1022,5,Execução em Sentença Estrangeira Contestada,A,2025-09-11 16:34:41,
1023,5,Execução em Mandado de Segurança,A,2025-09-11 16:34:41,
1024,5,Execução em Medida Cautelar,A,2025-09-11 16:34:41,
1025,5,Incidente de Deslocamento de Competência ,A,2025-09-11 16:34:41,
1026,5,Homologação de Decisão Estrangeira,A,2025-09-11 16:34:41,
1027,5,Sentença Estrangeira Contestada,A,2025-09-11 16:34:41,
1028,5,Sindicância,A,2025-09-11 16:34:41,
1029,5,Mandado de Segurança,A,2025-09-11 16:34:41,
1030,5,Reclamação,A,2025-09-11 16:34:41,
1031,5,Recurso Ordinário,A,2025-09-11 16:34:41,
1032,5,Recurso Especial,A,2025-09-11 16:34:41,
1033,5,Ação Penal,A,2025-09-11 16:34:41,
1034,5,Interpelação Judicial,A,2025-09-11 16:34:41,
1035,5,Apelação Cível,I,2025-09-11 16:34:41,
1036,5,Suspensão de Liminar e de Sentença,A,2025-09-11 16:34:41,
1037,5,Embargos Infringentes em Apelação Cível,I,2025-09-11 16:34:41,
1038,5,Representação,A,2025-09-11 16:34:41,
1040,5,Requisição de Pequeno Valor,A,2025-09-11 16:34:41,
1042,5,Inquérito,A,2025-09-11 16:34:41,
1044,5,Agravo de Instrumento,A,2025-09-11 16:34:41,
1045,5,Agravo em Recurso Extraordinário,A,2025-09-11 16:34:41,
1046,5,Agravo em Recurso de Mandado de Segurança,A,2025-09-11 16:34:41,
1047,5,Carta Rogatória,A,2025-09-11 16:34:41,
1049,5,Habeas Data,A,2025-09-11 16:34:41,
1053,5,Conflito de Atribuição,A,2025-09-11 16:34:41,
1054,5,Conflito de Competência,A,2025-09-11 16:34:41,
1057,5,Petição,A,2025-09-11 16:34:41,
1062,5,Medida Cautelar,A,2025-09-11 16:34:41,
1063,5,Exceção da Verdade,A,2025-09-11 16:34:41,
1064,5,Remessa Necessária em Habeas Corpus,A,2025-09-11 16:34:41,
1066,5,Embargos Infringentes em Ação Rescisória,I,2025-09-11 16:34:41,
1067,1107,Procedimentos Trabalhistas,A,2025-09-11 16:34:41,
1068,158,Processo de Execução Trabalhista,A,2025-09-11 16:34:41,
1070,214,Incidentes Trabalhistas,A,2025-09-11 16:34:41,
1071,197,Recursos Trabalhistas,A,2025-09-11 16:34:41,
1072,1070,Pedido de Revisão do Valor da Causa,A,2025-09-11 16:34:41,
1106,2,Processo de Conhecimento,A,2025-09-11 16:34:41,
1107,1106,Procedimento de Conhecimento,A,2025-09-11 16:34:41,
1111,158,Execução de Título Judicial,I,2025-09-11 16:34:41,
1112,1111,Execução de Alimentos,I,2025-09-11 16:34:41,
1114,1111,Execução Contra a Fazenda Pública,I,2025-09-11 16:34:41,
1116,158,Execução Fiscal,A,2025-09-11 16:34:41,
1117,158,Execução Hipotecária do Sistema Financeiro da Habitação,A,2025-09-11 16:34:41,
1118,169,Embargos à Execução Fiscal,A,2025-09-11 16:34:41,
1122,50,Tutela e Curatela - Remoção e Dispensa,I,2025-09-11 16:34:41,
1124,62,Justificação de Dinheiro a Risco,I,2025-09-11 16:34:41,
1125,1067,Ação Trabalhista - Rito Sumaríssimo,A,2025-09-11 16:34:41,
1126,1067,Ação Trabalhista - Rito Sumário (Alçada),A,2025-09-11 16:34:41,
1137,5,Embargos de Divergência em Recurso Especial,A,2025-09-11 16:34:41,
1145,1070,Conflito de Competência,I,2025-09-11 16:34:41,
1178,331,Incidente de Arguição de Inconstitucionalidade Criminal,A,2025-09-11 16:34:41,
1198,,PROCEDIMENTOS ADMINISTRATIVOS,A,2025-09-11 16:34:41,
1199,1198,Pedido de Providências,A,2025-09-11 16:34:41,
1202,1067,Reclamação,A,2025-09-11 16:34:41,
1208,200,Agravo Interno Cível,A,2025-09-11 16:34:41,
1209,1071,Agravos,A,2025-09-11 16:34:41,
1230,224,Exceção de Impedimento,I,2025-09-11 16:34:41,
1231,224,Exceção de Suspeição,I,2025-09-11 16:34:41,
1232,224,Exceção de Incompetência,I,2025-09-11 16:34:41,
1233,175,Efeito Suspensivo em Dissídio Coletivo,A,2025-09-11 16:34:41,
1262,1198,Processo Administrativo Disciplinar em face de Servidor,A,2025-09-11 16:34:41,
1264,1198,Processo Administrativo Disciplinar em face de Magistrado,A,2025-09-11 16:34:41,
1265,1198,Precatório,A,2025-09-11 16:34:41,
1266,1198,Requisição de Pequeno Valor,A,2025-09-11 16:34:41,
1267,1071,Recurso de Multa,A,2025-09-11 16:34:41,
1268,308,Medidas Protetivas de Urgência (Lei Maria da Penha)  - Criminal,A,2025-09-11 16:34:41,
1269,62,Habeas Corpus Cível,A,2025-09-11 16:34:41,
1271,197,Recurso de Medida Cautelar Cível,A,2025-09-11 16:34:41,
1283,406,Superveniência de doença mental,I,2025-09-11 16:34:41,
1284,406,Unificação de penas,I,2025-09-11 16:34:41,
1285,215,Conflito de atribuição,I,2025-09-11 16:34:41,
1288,406,Transferência entre estabelecimentos penais,I,2025-09-11 16:34:41,
1289,175,Outras medidas provisionais,I,2025-09-11 16:34:41,
1291,331,Reabilitação,A,2025-09-11 16:34:41,
1294,50,Outros procedimentos de jurisdição voluntária,A,2025-09-11 16:34:41,
1295,50,Alvará Judicial,I,2025-09-11 16:34:41,
1296,62,Ação Declaratória de Constitucionalidade,A,2025-09-11 16:34:41,
1297,62,Intervenção em Município,A,2025-09-11 16:34:41,
1298,1198,Processo Administrativo,A,2025-09-11 16:34:41,
1299,1198,Recurso Administrativo,A,2025-09-11 16:34:41,
