comarca_id,municipio_id,year
68918.0,72397.0,1938
69019.0,62154.0,1938
69019.0,69019.0,1938
69019.0,69418.0,1938
69132.0,62391.0,1938
69132.0,69132.0,1938
69299.0,61158.0,1938
69299.0,61255.0,1938
69299.0,61476.0,1938
69299.0,66850.0,1938
69299.0,68853.0,1938
69299.0,69256.0,1938
69299.0,69299.0,1938
69310.0,62839.0,1938
69310.0,65137.0,1938
69310.0,69272.0,1938
69310.0,69310.0,1938
69396.0,61697.0,1938
69396.0,66338.0,1938
69396.0,69396.0,1938
69590.0,62448.0,1938
69590.0,63878.0,1938
69590.0,69590.0,1938
69698.0,61107.0,1938
69698.0,63630.0,1938
69698.0,69698.0,1938
69698.0,71315.0,1938
69795.0,63550.0,1938
69795.0,65730.0,1938
69795.0,69795.0,1938
69795.0,70351.0,1938
70130.0,61735.0,1938
70130.0,61867.0,1938
70130.0,65390.0,1938
70130.0,70130.0,1938
70211.0,70017.0,1938
70211.0,70211.0,1938
70270.0,70270.0,1938
70297.0,62251.0,1938
70297.0,70297.0,1938
70297.0,71110.0,1938
70378.0,61778.0,1938
70378.0,65056.0,1938
70378.0,70378.0,1938
70491.0,70491.0,1938
70556.0,62421.0,1938
70556.0,68691.0,1938
70556.0,70556.0,1938
70718.0,63711.0,1938
70718.0,64750.0,1938
70718.0,65676.0,1938
70718.0,70718.0,1938
70718.0,71218.0,1938
70734.0,62952.0,1938
70734.0,70653.0,1938
70734.0,70734.0,1938
70793.0,64874.0,1938
70793.0,70793.0,1938
70831.0,61077.0,1938
70831.0,70831.0,1938
70890.0,70890.0,1938
70955.0,70955.0,1938
70971.0,61956.0,1938
70971.0,62243.0,1938
70971.0,63274.0,1938
70971.0,67075.0,1938
70971.0,67091.0,1938
70971.0,67571.0,1938
70971.0,69175.0,1938
70971.0,70971.0,1938
70971.0,72133.0,1938
71013.0,71013.0,1938
71030.0,61719.0,1938
71030.0,71030.0,1938
71072.0,62138.0,1938
71072.0,62812.0,1938
71072.0,63614.0,1938
71072.0,64017.0,1938
71072.0,64297.0,1938
71072.0,64777.0,1938
71072.0,65510.0,1938
71072.0,66257.0,1938
71072.0,66893.0,1938
71072.0,67890.0,1938
71072.0,69671.0,1938
71072.0,70572.0,1938
71072.0,71072.0,1938
71099.0,71099.0,1938
71137.0,61263.0,1938
71137.0,66699.0,1938
71137.0,71137.0,1938
71153.0,71153.0,1938
71196.0,71196.0,1938
71196.0,71293.0,1938
71331.0,66419.0,1938
71331.0,71331.0,1938
71358.0,62111.0,1938
71358.0,69051.0,1938
71358.0,71358.0,1938
71439.0,71439.0,1938
71455.0,71455.0,1938
71455.0,72435.0,1938
71757.0,63037.0,1938
71757.0,64130.0,1938
71757.0,70319.0,1938
71757.0,71757.0,1938
71811.0,62049.0,1938
71811.0,62375.0,1938
71811.0,63339.0,1938
71811.0,69116.0,1938
71811.0,71811.0,1938
