estado,wrong,correct
SP,ARCO IRIS,ARCO-IRIS
RS,CHIAPETA,CHIAPETTA
PA,ALMERIM,ALMEIRIM
PR,SANTA CRUZ DO MONTE CASTELO,SANTA CRUZ DE MONTE CASTELO
MS,BATAIPORA,BATAYPORA
RO,ESPIGAO DOESTE,ESPIGAO DO OESTE
AC,MANUEL URBANO,MANOEL URBANO
MA,CONCEICAO DO LAGO ACU,CONCEICAO DO LAGO-ACU
PB,SAO DOMINGOS,SAO DOMINGOS DE POMBAL
PR,MOREIRA SALLES,MOREIRA SALES
GO,SAO LUIS DOS MONTES BELOS,SAO LUIS DE MONTES BELOS
AM,NOVO AYRAO,NOVO AIRAO
BA,QUIJINGUE,QUINJINGUE
RO,SANTA LUZIA D OESTE,SANTA LUZIA DO OESTE
MA,GOVERNADOR EDSON LOBAO,GOVERNADOR EDISON LOBAO
RN,LAGOA DANTA,LAGOA D ANTA
PB,CAMPO DE SANTANA,TACIMA
RN,CEARA MIRIM,CEARA-MIRIM
RO,NOVA BRASILANDIA D OESTE,NOVA BRASILANDIA DO OESTE
SP,BRODOSQUI,BRODOWSKI
AL,OLHO DAGUA GRANDE,OLHO D AGUA GRANDE
RO,ALTA FLORESTA D OESTE,ALTA FLORESTA DO OESTE
PE,SAO CAETANO,SAO CAITANO
MG,GOUVEA,GOUVEIA
BA,SANTA TERESINHA,SANTA TEREZINHA
PA,VIZEU,VISEU
MA,SENADOR LA ROQUE,SENADOR LA ROCQUE
SE,CANINDE DO SAO FRANCISCO,CANINDE DE SAO FRANCISCO
SC,PICARRAS,BALNEARIO PICARRAS
AL,OLHO DAGUA DO CASADO,OLHO D AGUA DO CASADO
AP,AMAPARI,PEDRA BRANCA DO AMAPARI
PB,MAE DAGUA,MAE D AGUA
PA,TOME ACU,TOME-ACU
SC,PRESIDENTE CASTELLO BRANCO,PRESIDENTE CASTELO BRANCO
BA,GOVERNADOR LOMANTO JUNIOR,BARRO PRETO
RO,GUAJARA MIRIM,GUAJARA-MIRIM
SP,SALMORAO,SALMOURAO
PA,IGARAPE ACU,IGARAPE-ACU
RO,NOVA BRASILANDIA,NOVA BRASILANDIA DO OESTE
ES,SANTA MARIA DO JETIBA,SANTA MARIA DE JETIBA
BA,XIQUE XIQUE,XIQUE-XIQUE
AL,TANQUE DARCA,TANQUE D ARCA
PB,OLHO DAGUA,OLHO D AGUA
CE,EUZEBIO,EUSEBIO
AL,SENADOR TEOTONIO VILELA,TEOTONIO VILELA
GO,VALPARAISO,VALPARAISO DE GOIAS
RO,MACHADINHO D OESTE,MACHADINHO DO OESTE
SC,HERVAL D OESTE,HERVAL DOESTE
RR,SAO LUIZ DO ANAUA,SAO LUIZ
SP,LUISIANIA,LUIZIANIA
SE,ITAPORANGA DAJUDA,ITAPORANGA D AJUDA
RJ,VARRE E SAI,VARRE-SAI
SP,BERNADINO DE CAMPOS,BERNARDINO DE CAMPOS
MA,PINDARE MIRIM,PINDARE-MIRIM
AL,OLHO D AGUA DAS FLORES,OLHO DAGUA DAS FLORES
RO,SAO FELIPE DO OESTE,SAO FELIPE D OESTE
RS,NAO ME TOQUE,NAO-ME-TOQUE
PA,PAU D ARCO,PAU DARCO
RS,ENTRE IJUIS,ENTRE-IJUIS
SP,MOJI-MIRIM,MOGI MIRIM
GO,AGUAS LINDAS,AGUAS LINDAS DE GOIAS
PE,IGUARACY,IGUARACI
GO,SITIO DABADIA,SITIO D ABADIA
PE,BELEM DO SAO FRANCISCO,BELEM DE SAO FRANCISCO
SC,LUIZ ALVES,LUIS ALVES
CE,ITAPAJE,ITAPAGE
SP,MOJI-GUACU,MOGI GUACU
SC,BALNEARIO DE CAMBORIU,BALNEARIO CAMBORIU
SP,SUD MENUCCI,SUD MENNUCCI
PR,RANCHO ALEGRE D OESTE,RANCHO ALEGRE DOESTE
PR,DIAMANTE D OESTE,DIAMANTE DOESTE
MA,OLHO DAGUA DAS CUNHAS,OLHO D AGUA DAS CUNHAS
PR,ITAPEJARA DOESTE,ITAPEJARA D OESTE
RS,SAO LUIS GONZAGA,SAO LUIZ GONZAGA
PE,ITAMARACA,ILHA DE ITAMARACA
GO,SAO JOAO DALIANCA,SAO JOAO D ALIANCA
PR,PEROLA DOESTE,PEROLA D OESTE
PA,SANTA IZABEL DO PARA,SANTA ISABEL DO PARA
SP,VALPARAIZO,VALPARAISO
PR,SAO JORGE DOESTE,SAO JORGE D OESTE
SP,BADY BASSIT,BADY BASSITT
RS,SANT ANA DO LIVRAMENTO,SANTANA DO LIVRAMENTO
BA,CAMACA,CAMACAN
SP,IPAUCU,IPAUSSU
RO,JI PARANA,JI-PARANA
RJ,PARATI,PARATY
RJ,ARMACAO DE BUZIOS,ARMACAO DOS BUZIOS
RJ,PATI DO ALFERES,PATY DO ALFERES
SP,SANTO ANTONIO DA POSSE,SANTO ANTONIO DE POSSE
MG,PINGO D AGUA,PINGO DAGUA
MG,OLHOS D AGUA,OLHOS DAGUA
BA,DIAS DAVILA,DIAS D AVILA
PE,CABO,CABO DE SANTO AGOSTINHO
SP,MOJI MIRIM,MOGI MIRIM
SP,EMBU GUACU,EMBU-GUACU
SP,MOJI GUACU,MOGI GUACU
SP,GUARANI DOESTE,GUARANI D OESTE
SP,SAO JOAO DO PAU DALHO,SAO JOAO DO PAU D ALHO
SP,SANTA CLARA DOESTE,SANTA CLARA D OESTE
RJ,TRAJANO DE MORAES,TRAJANO DE MORAIS
SP,SANTA RITA DOESTE,SANTA RITA D OESTE
SP,APARECIDA DOESTE,APARECIDA D OESTE
SP,ESTRELA DOESTE,ESTRELA D OESTE
SP,PALMEIRA DOESTE,PALMEIRA D OESTE
SP,PIRACUNUNGA,PIRASSUNUNGA
SP,MOJI DAS CRUZES,MOGI DAS CRUZES
PE,JABOATAO,JABOATAO DOS GUARARAPES
SP,SANTA BARBARA DOESTE,SANTA BARBARA D OESTE
SP,EMBU,EMBU DAS ARTES
RJ,CAMPOS,CAMPOS DOS GOYTACAZES
