municipio_id,municipio,ibge7,ibge6,estado,estado_id,comarca_id,subsecao_id
-3.0,,,,,,,
-1.0,,,,,,,
19.0,guajaramirim,1100106.0,110010.0,RO,22.0,1460.0,19.0
35.0,porto velho,1100205.0,110020.0,RO,22.0,1467.0,35.0
51.0,jiparana,1100122.0,110012.0,RO,22.0,1462.0,51.0
78.0,ariquemes,1100023.0,110002.0,RO,22.0,1453.0,35.0
94.0,cacoal,1100049.0,110004.0,RO,22.0,1455.0,51.0
116.0,pimenta bueno,1100189.0,110018.0,RO,22.0,1466.0,132.0
132.0,vilhena,1100304.0,110030.0,RO,22.0,1472.0,132.0
159.0,jaru,1100114.0,110011.0,RO,22.0,1461.0,35.0
175.0,ouro preto do oeste,1100155.0,110015.0,RO,22.0,1465.0,51.0
191.0,presidente medici,1100254.0,110025.0,RO,22.0,1468.0,51.0
213.0,costa marques,1100080.0,110008.0,RO,22.0,1458.0,51.0
230.0,colorado do oeste,1100064.0,110006.0,RO,22.0,1457.0,132.0
256.0,espigao do oeste,1100098.0,110009.0,RO,22.0,1459.0,132.0
272.0,cerejeiras,1100056.0,110005.0,RO,22.0,1456.0,132.0
299.0,rolim de moura,1100288.0,110028.0,RO,22.0,1469.0,51.0
310.0,alta floresta do oeste,1100015.0,110001.0,RO,22.0,1451.0,51.0
337.0,alvorada do oeste,1100346.0,110034.0,RO,22.0,1452.0,51.0
353.0,santa luzia do oeste,1100296.0,110029.0,RO,22.0,1470.0,51.0
370.0,nova brasilandia do oeste,1100148.0,110014.0,RO,22.0,1464.0,51.0
396.0,machadinho do oeste,1100130.0,110013.0,RO,22.0,1463.0,35.0
418.0,sao miguel do guapore,1100320.0,110032.0,RO,22.0,1471.0,51.0
434.0,nova mamore,1100338.0,110033.0,RO,22.0,,19.0
450.0,cabixi,1100031.0,110003.0,RO,22.0,1457.0,132.0
477.0,candeias do jamari,1100809.0,110080.0,RO,22.0,1467.0,35.0
493.0,itapua do oeste,1101104.0,110110.0,RO,22.0,1467.0,35.0
515.0,novo horizonte do oeste,1100502.0,110050.0,RO,22.0,1464.0,51.0
531.0,castanheiras,1100908.0,110090.0,RO,22.0,1468.0,51.0
558.0,vale do paraiso,1101807.0,110180.0,RO,22.0,1465.0,51.0
566.0,urupa,1101708.0,110170.0,RO,22.0,,51.0
574.0,mirante da serra,1101302.0,110130.0,RO,22.0,,51.0
582.0,seringueiras,1101500.0,110150.0,RO,22.0,1471.0,51.0
590.0,theobroma,1101609.0,110160.0,RO,22.0,1461.0,35.0
604.0,ministro andreazza,1101203.0,110120.0,RO,22.0,1456.0,51.0
612.0,governador jorge teixeira,1101005.0,110100.0,RO,22.0,1461.0,35.0
620.0,cacaulandia,1100601.0,110060.0,RO,22.0,1453.0,35.0
639.0,alto paraiso,1100403.0,110040.0,RO,22.0,1453.0,35.0
647.0,rio crespo,1100262.0,110026.0,RO,22.0,1453.0,35.0
655.0,corumbiara,1100072.0,110007.0,RO,22.0,1456.0,132.0
663.0,monte negro,1101401.0,110140.0,RO,22.0,1453.0,35.0
671.0,campo novo de rondonia,1100700.0,110070.0,RO,22.0,1454.0,35.0
680.0,cujubim,1100940.0,110094.0,RO,22.0,1453.0,35.0
698.0,vale do anari,1101757.0,110175.0,RO,22.0,1463.0,35.0
701.0,parecis,1101450.0,110145.0,RO,22.0,1470.0,51.0
710.0,sao felipe do oeste,1101484.0,110148.0,RO,22.0,1466.0,51.0
728.0,primavera de rondonia,1101476.0,110147.0,RO,22.0,1466.0,51.0
736.0,alto alegre dos parecis,1100379.0,110037.0,RO,22.0,1470.0,51.0
744.0,nova uniao,1101435.0,110143.0,RO,22.0,,51.0
752.0,teixeiropolis,1101559.0,110155.0,RO,22.0,1465.0,51.0
779.0,buritis,1100452.0,110045.0,RO,22.0,1454.0,35.0
787.0,pimenteiras do oeste,1101468.0,110146.0,RO,22.0,1456.0,132.0
795.0,sao francisco do guapore,1101492.0,110149.0,RO,22.0,,51.0
809.0,chupinguaia,1100924.0,110092.0,RO,22.0,1452.0,132.0
1007.0,bujari,1200138.0,120013.0,AC,1.0,4.0,1392.0
1015.0,capixaba,1200179.0,120017.0,AC,1.0,5.0,1392.0
1023.0,porto acre,1200807.0,120080.0,AC,1.0,14.0,1392.0
1031.0,santa rosa do purus,1200435.0,120043.0,AC,1.0,18.0,1392.0
1040.0,marechal thaumaturgo,1200351.0,120035.0,AC,1.0,12.0,1074.0
1058.0,brasileia,1200104.0,120010.0,AC,1.0,3.0,1392.0
1066.0,porto walter,,,,,,1074.0
1074.0,cruzeiro do sul,1200203.0,120020.0,AC,1.0,6.0,1392.0
1082.0,rodrigues alves,1200427.0,120042.0,AC,1.0,17.0,1074.0
1090.0,mancio lima,1200336.0,120033.0,AC,1.0,10.0,1074.0
1104.0,jordao,1200328.0,120032.0,AC,1.0,9.0,1074.0
1112.0,epitaciolandia,1200252.0,120025.0,AC,1.0,7.0,1392.0
1120.0,acrelandia,1200013.0,120001.0,AC,1.0,1.0,1392.0
1139.0,feijo,1200302.0,120030.0,AC,1.0,8.0,1074.0
1392.0,rio branco,1200401.0,120040.0,AC,1.0,16.0,1392.0
1457.0,sena madureira,1200500.0,120050.0,AC,1.0,19.0,1392.0
1473.0,tarauaca,1200609.0,120060.0,AC,1.0,21.0,1074.0
1490.0,xapuri,1200708.0,120070.0,AC,1.0,22.0,1392.0
1511.0,placido de castro,1200385.0,120038.0,AC,1.0,13.0,1392.0
1538.0,senador guiomard,1200450.0,120045.0,AC,1.0,20.0,1392.0
1554.0,manoel urbano,1200344.0,120034.0,AC,1.0,11.0,1392.0
1570.0,assis brasil,1200054.0,120005.0,AC,1.0,2.0,1392.0
2003.0,apui,1300144.0,130014.0,AM,4.0,2035.0,2550.0
2011.0,novo airao,1303205.0,130320.0,AM,4.0,2074.0,2550.0
2020.0,guajara,1301654.0,130165.0,AM,4.0,2055.0,2550.0
2038.0,anori,1300102.0,130010.0,AM,4.0,2034.0,2550.0
2046.0,careiro da varzea,1301159.0,130115.0,AM,4.0,2049.0,2550.0
2054.0,atalaia do norte,1300201.0,130020.0,AM,4.0,2036.0,98477.0
2070.0,autazes,1300300.0,130030.0,AM,4.0,2037.0,2550.0
2097.0,barcelos,1300409.0,130040.0,AM,4.0,2038.0,2550.0
2119.0,barreirinha,1300508.0,130050.0,AM,4.0,2039.0,2550.0
2135.0,benjamin constant,1300607.0,130060.0,AM,4.0,2040.0,98477.0
2151.0,boca do acre,1300706.0,130070.0,AM,4.0,2043.0,2550.0
2178.0,borba,1300805.0,130080.0,AM,4.0,2044.0,2550.0
2194.0,canutama,1300904.0,130090.0,AM,4.0,2046.0,2550.0
2216.0,carauari,1301001.0,130100.0,AM,4.0,2047.0,2810.0
2232.0,careiro,1301100.0,130110.0,AM,4.0,2048.0,2550.0
2259.0,coari,1301209.0,130120.0,AM,4.0,2050.0,2810.0
2275.0,codajas,1301308.0,130130.0,AM,4.0,2051.0,2550.0
2291.0,eirunepe,1301407.0,130140.0,AM,4.0,2052.0,2550.0
2313.0,envira,1301506.0,130150.0,AM,4.0,2053.0,2550.0
2330.0,fonte boa,1301605.0,130160.0,AM,4.0,2054.0,2810.0
2356.0,humaita,1301704.0,130170.0,AM,4.0,2056.0,2550.0
2372.0,santa isabel do rio negro,1303601.0,130360.0,AM,4.0,2080.0,2550.0
2399.0,ipixuna,1301803.0,130180.0,AM,4.0,2057.0,2550.0
2410.0,itacoatiara,1301902.0,130190.0,AM,4.0,2059.0,2550.0
2437.0,itapiranga,1302009.0,130200.0,AM,4.0,2061.0,2550.0
2453.0,japura,1302108.0,130210.0,AM,4.0,2062.0,2810.0
2470.0,jurua,1302207.0,130220.0,AM,4.0,2063.0,2810.0
2496.0,jutai,1302306.0,130230.0,AM,4.0,2064.0,98477.0
2518.0,labrea,1302405.0,130240.0,AM,4.0,2065.0,2550.0
2534.0,manacapuru,1302504.0,130250.0,AM,4.0,2066.0,2550.0
2550.0,manaus,1302603.0,130260.0,AM,4.0,2068.0,2550.0
2577.0,manicore,1302702.0,130270.0,AM,4.0,2069.0,2550.0
2593.0,maraa,1302801.0,130280.0,AM,4.0,2070.0,2810.0
2615.0,maues,1302900.0,130290.0,AM,4.0,2071.0,2550.0
2631.0,nhamunda,1303007.0,130300.0,AM,4.0,2072.0,2550.0
2658.0,nova olinda do norte,1303106.0,130310.0,AM,4.0,2073.0,2550.0
2674.0,novo aripuana,1303304.0,130330.0,AM,4.0,2075.0,2550.0
2690.0,parintins,1303403.0,130340.0,AM,4.0,2076.0,2550.0
2712.0,pauini,1303502.0,130350.0,AM,4.0,2077.0,2550.0
2739.0,santo antonio do ica,1303700.0,130370.0,AM,4.0,2081.0,98477.0
2755.0,sao paulo de olivenca,1303908.0,130390.0,AM,4.0,2083.0,98477.0
2771.0,silves,1304005.0,130400.0,AM,4.0,2085.0,2550.0
2798.0,tapaua,1304104.0,130410.0,AM,4.0,2087.0,2810.0
2810.0,tefe,1304203.0,130420.0,AM,4.0,2088.0,2810.0
2828.0,taiwan,,,,,,
2836.0,sao gabriel da cachoeira,1303809.0,130380.0,AM,4.0,2082.0,2550.0
2852.0,urucara,1304302.0,130430.0,AM,4.0,2090.0,2550.0
2879.0,urucurituba,1304401.0,130440.0,AM,4.0,2091.0,2550.0
2895.0,alvaraes,1300029.0,130002.0,AM,4.0,2032.0,2810.0
2917.0,amatura,1300060.0,130006.0,AM,4.0,,98477.0
2933.0,anama,1300086.0,130008.0,AM,4.0,2033.0,2550.0
2950.0,beruri,1300631.0,130063.0,AM,4.0,2041.0,2550.0
2976.0,boa vista do ramos,1300680.0,130068.0,AM,4.0,2042.0,2550.0
2992.0,caapiranga,1300839.0,130083.0,AM,4.0,2045.0,2550.0
3000.0,caroebe,1400233.0,140023.0,RR,23.0,1480.0,3018.0
3018.0,boa vista,1400100.0,140010.0,RR,23.0,1474.0,3018.0
3026.0,iracema,1400282.0,140028.0,RR,23.0,1477.0,3018.0
3034.0,caracarai,1400209.0,140020.0,RR,23.0,1476.0,3018.0
3042.0,amajari,1400027.0,140002.0,RR,23.0,,3018.0
3050.0,alto alegre,1400050.0,140005.0,RR,23.0,1473.0,3018.0
3069.0,canta,1400175.0,140017.0,RR,23.0,1474.0,3018.0
3077.0,bonfim,1400159.0,140015.0,RR,23.0,1475.0,3018.0
3085.0,rorainopolis,1400472.0,140047.0,RR,23.0,1479.0,3018.0
3093.0,mucajai,1400308.0,140030.0,RR,23.0,1477.0,3018.0
