comarca_id,comarca,tribunal,estado_id,estado,n_municipios,entrancia,juizes
121,vargem grande,TJMA,10.0,MA,2.0,,
122,viana,TJMA,10.0,MA,2.0,,
123,vitoria do mearim,TJMA,10.0,MA,1.0,,
124,vitorino freire,TJMA,10.0,MA,3.0,,
125,ze doca,TJMA,10.0,MA,2.0,,
126,agua boa,TJMT,11.0,MT,3.0,,
127,alta floresta,TJMT,11.0,MT,2.0,,
128,alto araguaia,TJMT,11.0,MT,3.0,,
129,alto garcas,TJMT,11.0,MT,1.0,,
130,alto taquari,TJMT,11.0,MT,1.0,,
131,apiacas,TJMT,11.0,MT,1.0,,
132,araputanga,TJMT,11.0,MT,3.0,,
133,arenapolis,TJMT,11.0,MT,3.0,,
134,aripuana,TJMT,11.0,MT,1.0,,
135,barra do bugres,TJMT,11.0,MT,4.0,,
136,barra do garcas,TJMT,11.0,MT,6.0,,
137,brasnorte,TJMT,11.0,MT,1.0,,
138,caceres,TJMT,11.0,MT,1.0,,
139,campinapolis,TJMT,11.0,MT,1.0,,
140,campo novo do parecis,TJMT,11.0,MT,1.0,,
141,campo verde,TJMT,11.0,MT,1.0,,
142,canarana,TJMT,11.0,MT,1.0,,
143,chapada dos guimaraes,TJMT,11.0,MT,3.0,,
144,claudia,TJMT,11.0,MT,2.0,,
145,colider,TJMT,11.0,MT,1.0,,
146,colniza,TJMT,11.0,MT,1.0,,
147,comodoro,TJMT,11.0,MT,4.0,,
148,cotriguacu,TJMT,11.0,MT,2.0,,
149,cuiaba,TJMT,11.0,MT,2.0,,
150,diamantino,TJMT,11.0,MT,2.0,,
151,dom aquino,TJMT,11.0,MT,1.0,,
152,feliz natal,TJMT,11.0,MT,1.0,,
153,guaranta do norte,TJMT,11.0,MT,2.0,,
154,guiratinga,TJMT,11.0,MT,2.0,,
155,itauba,TJMT,11.0,MT,2.0,,
156,itiquira,TJMT,11.0,MT,1.0,,
157,jaciara,TJMT,11.0,MT,2.0,,
158,jauru,TJMT,11.0,MT,2.0,,
159,juara,TJMT,11.0,MT,1.0,,
160,juina,TJMT,11.0,MT,2.0,,
161,juscimeira,TJMT,11.0,MT,1.0,,
162,lucas do rio verde,TJMT,11.0,MT,1.0,,
163,marcelandia,TJMT,11.0,MT,1.0,,
164,matupa,TJMT,11.0,MT,1.0,,
165,mirassol doeste,TJMT,11.0,MT,2.0,,
166,nobres,TJMT,11.0,MT,1.0,,
167,nortelandia,TJMT,11.0,MT,1.0,,
168,nova canaa do norte,TJMT,11.0,MT,1.0,,
169,nova monte verde,TJMT,11.0,MT,2.0,,
170,nova mutum,TJMT,11.0,MT,2.0,,
171,nova ubirata,TJMT,11.0,MT,1.0,,
172,nova xavantina,TJMT,11.0,MT,1.0,,
173,novo sao joaquim,TJMT,11.0,MT,1.0,,
174,paranaita,TJMT,11.0,MT,1.0,,
175,paranatinga,TJMT,11.0,MT,2.0,,
176,pedra preta,TJMT,11.0,MT,1.0,,
177,peixoto de azevedo,TJMT,11.0,MT,1.0,,
178,pocone,TJMT,11.0,MT,1.0,,
179,pontes e lacerda,TJMT,11.0,MT,3.0,,
180,porto alegre do norte,TJMT,11.0,MT,4.0,,
181,porto dos gauchos,TJMT,11.0,MT,2.0,,
182,porto esperidiao,TJMT,11.0,MT,2.0,,
183,poxoreo,TJMT,11.0,MT,1.0,,
184,primavera do leste,TJMT,11.0,MT,2.0,,
185,querencia,TJMT,11.0,MT,1.0,,
186,ribeirao cascalheira,TJMT,11.0,MT,3.0,,
187,rio branco,TJMT,11.0,MT,3.0,,
188,rondonopolis,TJMT,11.0,MT,2.0,,
189,rosario oeste,TJMT,11.0,MT,2.0,,
190,santo antonio do leverger,TJMT,11.0,MT,2.0,,
191,sao jose do rio claro,TJMT,11.0,MT,2.0,,
192,sao jose dos quatro marcos,TJMT,11.0,MT,1.0,,
193,sapezal,TJMT,11.0,MT,1.0,,
194,sinop,TJMT,11.0,MT,2.0,,
195,sorriso,TJMT,11.0,MT,2.0,,
196,tabapora,TJMT,11.0,MT,1.0,,
197,tangara da serra,TJMT,11.0,MT,1.0,,
198,tapurah,TJMT,11.0,MT,2.0,,
199,terra nova do norte,TJMT,11.0,MT,2.0,,
200,varzea grande,TJMT,11.0,MT,2.0,,
201,vera,TJMT,11.0,MT,1.0,,
202,vila bela da santissima trindade,TJMT,11.0,MT,1.0,,
203,vila rica,TJMT,11.0,MT,3.0,,
204,agua clara,TJMS,12.0,MS,1.0,,
