name,ll
tnl,-7.5489448551913
leandro,-7.555126108646539
garcia,-7.55736074644796
financiamentos,-7.561845058895281
marcio,-7.565096280966389
pires,-7.57364979223523
sul,-7.58661882334267
esgotos,-7.59020857078729
bastos,-7.59149375281741
bruno,-7.59200828846036
trabalho,-7.59200828846036
santa,-7.5951010744308
vera,-7.59665106182456
casas,-7.59872145593887
araujo,-7.60417672339695
veiculos,-7.61149701752388
amaral,-7.61280987054165
volta,-7.616495055022829
guimaraes,-7.61781449049595
rafael,-7.61966462978411
eletro,-7.61992921504825
assis,-7.62257892513061
previdencia,-7.623375209180651
cia,-7.62976841156371
engenharia,-7.63432178758408
barreto,-7.63432178758408
que,-7.635396190051121
fatima,-7.635933824472669
carmo,-7.63781782449165
andre,-7.65548372758906
rangel,-7.66125852708295
edificio,-7.663190894834
empresa,-7.66457344724557
esgoto,-7.66678951463448
consorcios,-7.667899392661839
renato,-7.667899392661839
brito,-7.671515027250139
produtos,-7.6729091443029205
braga,-7.680471146449291
adriana,-7.680752321763951
porto,-7.68894098816169
redonda,-7.68950820315137
felipe,-7.69377260193783
cartoes,-7.69519811892905
viana,-7.702931223483519
construtora,-7.704081971596691
claudia,-7.7078310747624
aymore,-7.7089874784761205
,-7.73566354364699
anderson,-7.73863885081065
parte,-7.7395331719315195
figueiredo,-7.74102548678838
macedo,-7.7449159600480195
sebastiao,-7.746716680822719
construcao,-7.74852065004315
multicarteira,-7.7488216282245
geraldo,-7.749122697021001
sandra,-7.7497251066777695
viacao,-7.7500264476473495
moveis,-7.75334720541595
marco,-7.76215515909397
c,-7.768889191275309
consorcios,-7.77258150316244
daniel,-7.77443278416016
fabio,-7.7796967690665495
edson,-7.782183559281889
cordeiro,-7.7871757693379005
coutinho,-7.78748861151158
certidao,-7.79030860398041
autor,-7.8115556375942194
turismo,-7.817019253949361
aguiar,-7.826083738157129
brasileira,-7.82705982413018
mattos,-7.83064697945233
menezes,-7.83326392566287
imobiliarios,-7.83786012548095
andre,-7.8537808597678
vicente,-7.85612395707409
luciano,-7.86251160696592
friburgo,-7.86826166508852
fernanda,-7.874386216386629
transporte,-7.881923079744331
participacoes,-7.88329954245306
sonia,-7.88951717906393
xavier,-7.89090414183828
i,-7.8933359651662895
luiza,-7.8933359651662895
mendonca,-7.89437998822963
uniao,-7.89472823827668
luciana,-7.89961651616697
rita,-7.904177127474611
servicos,-7.9045288067467405
santo,-7.9045288067467405
maia,-7.909111927760461
sindico,-7.91300642728363
carneiro,-7.92119881504404
julio,-7.92585915687185
sobre,-7.93054131921636
edificio,-7.93307159347433
cabral,-7.941795749134671
me,-7.94508703021874
com,-7.94949232368665
elias,-7.949860308971401
aymore,-7.952071068899079
miguel,-7.957619446365549
fatima,-7.95836156142743
lourdes,-7.96319878016178
internacional,-7.96993533258381
thiago,-7.97181467912455
medica,-7.97785243331547
joao,-7.986596073890031
paiva,-7.9869779719279
ltda,-7.99272401340318
ronaldo,-7.99734473783563
pacheco,-8.00121171867913
finasa,-8.00159924048208
leader,-8.008600435941059
,-8.01880060284063
leal,-8.01998426839607
